x1,y1,x2,y2
777.076,764.437,909.902,784.899
780.064,767.345,911.350,770.896
781.497,768.810,912.831,762.327
782.995,770.694,913.819,756.766
785.548,773.366,914.404,752.192
787.284,775.220,914.516,747.856
789.948,777.649,913.776,740.978
791.460,779.307,913.544,734.016
793.244,781.475,913.212,726.600
801.883,791.450,912.918,723.999
810.905,800.339,912.434,720.676
816.089,805.458,912.014,718.291
822.285,811.520,911.513,714.541
826.690,815.839,912.884,712.329
831.237,819.887,925.892,691.031
836.125,826.194,932.036,679.071
842.876,834.255,936.365,670.569
849.124,841.286,940.209,663.196
852.661,846.130,943.364,656.836
859.673,855.283,946.916,649.918
863.747,854.714,949.927,644.065
870.146,842.138,951.565,640.453
879.876,831.444,953.238,636.892
885.203,825.200,954.507,633.936
889.980,819.491,956.387,630.378
895.460,813.609,957.886,626.967
898.719,809.790,957.125,620.530
901.985,806.041,939.812,613.690
903.886,804.154,926.091,607.514
905.664,801.782,917.317,603.596
908.019,799.315,907.546,599.772
911.526,795.368,900.705,596.824
912.467,793.637,894.440,594.182
923.897,788.993,888.528,595.463
932.343,783.589,875.291,607.968
938.636,779.486,867.085,614.347
944.430,775.659,860.195,619.634
950.409,771.948,855.935,638.233
956.215,768.616,851.287,655.715
960.380,765.972,847.636,668.306
963.125,764.071,844.984,677.493
966.370,761.921,842.694,685.615
969.295,760.128,840.981,691.574
977.580,756.096,839.333,697.491
979.424,743.850,838.395,700.304
984.106,730.494,836.029,707.112
987.446,720.803,835.120,710.326
989.399,714.141,834.104,713.440
991.084,708.421,833.081,716.528
992.803,702.121,832.075,719.959
994.520,695.879,830.966,723.763
995.556,691.364,830.846,726.288
996.283,688.575,828.011,728.700
997.430,684.713,824.938,730.818
997.790,682.298,822.515,732.220
998.542,678.291,818.725,734.184
999.195,674.837,814.706,735.301
999.612,671.914,800.778,733.232
997.911,661.486,785.519,731.814
998.857,647.347,776.079,730.883
998.474,636.209,767.913,730.146
997.855,626.505,760.839,729.613
997.343,620.067,754.068,728.675
996.866,610.480,749.750,727.969
996.083,605.679,746.668,727.663
995.753,600.202,742.721,726.688
995.267,597.156,739.972,726.219
994.960,592.253,738.003,726.086
994.328,588.455,732.757,725.174
993.593,584.541,729.236,724.531
992.954,581.595,727.581,724.241
992.727,579.604,725.721,724.448
990.776,573.212,708.926,725.872
978.195,558.312,696.070,725.291
969.597,547.112,686.056,724.703
963.080,538.542,677.378,724.594
958.538,532.671,670.755,723.854
954.771,527.721,666.566,723.700
952.412,524.266,661.642,721.855
949.727,519.355,657.421,697.705
949.403,511.384,651.815,673.812
948.840,502.159,647.304,657.414
948.697,497.940,643.714,645.271
948.703,495.886,640.478,634.877
949.037,489.100,637.476,626.026
949.810,481.292,635.131,618.355
940.006,482.129,633.047,612.233
899.735,475.222,630.634,605.438
874.482,475.584,629.550,601.950
856.700,475.768,628.283,598.072
843.223,475.850,627.108,594.716
831.459,476.341,625.787,591.207
821.630,476.932,626.270,590.156
812.911,477.988,630.678,575.902
806.193,478.608,633.230,567.948
801.227,479.095,633.770,566.541
796.035,479.674,633.218,569.924
790.728,480.355,633.170,570.828
784.250,481.234,633.229,574.088
