x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
2377.765,2064.510,1791.214,2505.543,1969.642,2237.082,2361.813,1871.791,2526.550,2031.861,2371.210,1831.241,2210.584,2261.217,1608.896,2077.673,2531.636,1822.503,2072.952,1931.652
2391.276,2053.514,1802.457,2479.440,1961.238,2216.672,2367.229,1867.843,2539.800,2010.484,2379.309,1829.435,2224.236,2241.049,1614.066,2066.476,2536.754,1817.334,2084.321,1916.646
2406.484,2036.807,1811.956,2455.788,1954.610,2196.913,2373.586,1861.608,2551.146,1988.092,2387.503,1827.361,2236.892,2221.471,1618.702,2056.329,2542.529,1810.810,2102.417,1893.810
2419.054,2024.998,1821.955,2434.291,1949.089,2181.413,2380.771,1851.943,2561.298,1966.731,2399.918,1831.134,2246.670,2206.045,1623.070,2044.772,2547.484,1806.441,2120.555,1870.122
2431.076,2014.077,1829.957,2416.209,1944.360,2167.245,2389.000,1839.000,2569.864,1948.368,2412.334,1834.908,2255.692,2191.764,1628.160,2024.312,2552.422,1801.184,2138.017,1850.303
2441.137,2004.681,1836.953,2401.859,1940.237,2154.497,2395.837,1830.429,2576.978,1931.339,2424.750,1838.681,2264.120,2178.506,1638.869,1998.832,2558.898,1796.688,2153.100,1834.046
2450.165,1996.192,1843.670,2388.304,1936.897,2144.121,2402.673,1821.858,2582.922,1916.510,2437.166,1842.454,2271.774,2166.625,1648.784,1969.793,2581.603,1778.373,2166.622,1819.565
2458.449,1987.943,1849.096,2377.325,1933.651,2133.955,2409.510,1813.286,2588.698,1903.240,2449.581,1846.227,2278.304,2156.393,1662.548,1941.899,2600.451,1762.245,2179.062,1806.087
2465.274,1981.490,1854.309,2366.729,1930.838,2125.180,2416.694,1803.622,2593.982,1891.420,2461.997,1850.001,2284.791,2146.422,1673.254,1915.396,2617.720,1748.632,2188.596,1796.406
2471.957,1974.900,1858.614,2357.631,1927.944,2116.228,2422.106,1796.225,2598.581,1881.380,2471.403,1853.076,2291.024,2136.824,1684.297,1893.811,2633.563,1737.126,2198.969,1785.415
2478.543,1968.217,1862.751,2349.394,1925.827,2109.351,2426.976,1789.752,2603.202,1872.028,2479.288,1855.641,2296.764,2128.638,1693.821,1876.173,2647.095,1727.556,2207.997,1776.194
2484.823,1962.104,1866.597,2341.682,1923.543,2102.338,2431.568,1784.003,2608.131,1862.376,2486.700,1858.282,2302.454,2120.247,1702.208,1860.820,2660.676,1717.914,2216.650,1767.591
2489.890,1957.250,1869.908,2334.657,1921.411,2095.530,2435.816,1778.885,2612.415,1854.531,2493.284,1860.084,2307.442,2113.022,1709.527,1847.601,2670.715,1710.927,2224.172,1759.899
2495.812,1951.152,1873.245,2327.932,1919.974,2087.078,2440.018,1773.842,2616.451,1847.208,2498.947,1861.991,2312.693,2103.548,1716.191,1835.336,2680.405,1703.975,2230.974,1753.274
2500.943,1946.352,1875.771,2322.350,1920.532,2069.276,2444.148,1768.990,2620.650,1840.075,2503.377,1863.488,2318.656,2080.775,1722.460,1824.382,2690.335,1696.969,2237.038,1747.559
2505.729,1942.343,1878.624,2316.574,1918.340,2048.130,2448.120,1764.573,2624.302,1834.161,2508.469,1864.866,2327.869,2053.862,1731.881,1813.251,2698.148,1691.865,2244.461,1739.865
2511.296,1937.723,1882.220,2310.430,1917.243,2030.176,2452.318,1759.900,2628.067,1827.672,2512.383,1866.059,2335.735,2027.352,1757.910,1793.381,2706.675,1685.878,2248.907,1735.959
2522.275,1931.141,1893.446,2300.024,1917.159,2013.873,2455.997,1755.598,2631.280,1822.608,2515.801,1867.211,2342.790,2007.547,1785.483,1772.903,2712.474,1682.207,2255.522,1729.393
2540.093,1920.472,1910.144,2284.557,1916.910,2000.280,2459.497,1751.401,2635.016,1816.665,2519.643,1868.414,2350.252,1988.790,1812.293,1756.783,2720.447,1676.688,2261.091,1724.036
2556.302,1908.991,1923.716,2271.144,1916.864,1988.514,2467.273,1738.379,2638.847,1810.348,2523.228,1869.534,2356.798,1972.641,1839.322,1739.956,2727.133,1672.109,2266.191,1718.535
2569.377,1900.492,1936.681,2258.855,1917.086,1978.220,2479.687,1722.957,2641.543,1806.327,2525.788,1869.926,2362.954,1958.525,1861.588,1727.948,2733.513,1667.723,2273.935,1704.569
2581.968,1892.563,1946.542,2247.961,1916.603,1968.957,2494.198,1703.690,2644.498,1801.601,2529.501,1870.399,2369.202,1944.211,1880.807,1717.169,2739.216,1663.813,2284.438,1682.360
2592.789,1885.156,1954.721,2238.371,1916.729,1960.223,2511.453,1685.037,2647.500,1796.768,2536.849,1868.344,2374.819,1932.271,1897.053,1707.533,2744.828,1659.845,2294.708,1661.530
2603.020,1878.545,1961.854,2229.598,1916.970,1950.640,2526.396,1668.744,2649.934,1793.019,2549.205,1860.070,2380.542,1920.104,1911.422,1699.136,2750.194,1656.238,2302.762,1643.340
2612.209,1872.876,1968.830,2221.219,1917.443,1945.132,2540.849,1654.365,2652.684,1788.566,2564.083,1850.599,2385.417,1910.301,1924.396,1691.197,2754.485,1653.138,2309.560,1628.441
2621.623,1867.451,1974.622,2213.800,1917.195,1937.411,2553.868,1641.999,2654.418,1786.099,2576.912,1841.804,2390.508,1900.640,1936.607,1683.694,2760.380,1645.957,2315.425,1615.624
2630.281,1863.019,1980.184,2206.692,1917.516,1930.614,2565.504,1630.799,2658.671,1780.283,2587.396,1833.018,2395.397,1891.265,1947.117,1677.391,2772.397,1625.567,2321.145,1603.075
2637.957,1858.927,1985.395,2200.034,1917.434,1925.314,2575.024,1621.432,2661.636,1777.065,2597.410,1824.399,2400.266,1882.673,1957.809,1670.830,2786.549,1604.623,2326.139,1591.415
2645.691,1855.068,1989.999,2194.648,1918.466,1921.111,2583.877,1612.838,2664.999,1772.920,2605.692,1817.746,2405.029,1874.539,1969.048,1664.569,2796.768,1588.954,2330.914,1581.453
2653.008,1851.550,2002.009,2184.144,1918.353,1914.633,2592.708,1604.115,2668.151,1768.273,2612.777,1811.828,2409.506,1867.492,1992.300,1653.392,2805.157,1575.897,2335.041,1572.568
2659.573,1848.324,2018.973,2164.984,1919.442,1910.256,2600.175,1596.725,2671.303,1763.626,2619.862,1805.910,2414.588,1859.875,2016.700,1636.307,2813.272,1562.346,2338.995,1563.875
2666.818,1844.615,2037.163,2145.523,1921.166,1905.784,2607.942,1589.236,2674.155,1759.061,2626.060,1800.796,2423.162,1851.210,2039.764,1621.196,2820.019,1552.015,2342.790,1554.921
2672.833,1841.641,2053.217,2125.254,1931.505,1891.898,2613.952,1583.805,2677.207,1753.928,2630.608,1797.051,2444.968,1833.060,2058.340,1605.548,2827.174,1540.323,2346.521,1547.888
2679.338,1838.284,2069.790,2106.692,1944.125,1876.823,2620.453,1577.592,2680.138,1748.952,2635.157,1793.306,2461.764,1817.650,2074.091,1592.355,2832.573,1532.077,2349.846,1541.140
2685.290,1835.469,2082.519,2090.204,1954.838,1862.699,2627.621,1570.528,2683.069,1743.976,2639.706,1789.561,2477.965,1803.767,2088.974,1580.250,2838.223,1523.403,2352.695,1535.750
2690.793,1832.904,2093.766,2075.429,1964.513,1851.013,2632.605,1566.212,2686.000,1739.000,2644.254,1785.816,2491.987,1792.100,2101.132,1570.082,2843.105,1516.175,2356.062,1529.643
2695.778,1830.600,2102.604,2063.851,1973.576,1840.653,2638.304,1560.875,2689.414,1733.398,2648.803,1782.071,2506.054,1780.964,2112.007,1561.023,2846.602,1504.099,2359.287,1522.959
2700.461,1828.341,2111.264,2052.123,1980.937,1832.333,2644.319,1555.164,2686.084,1716.815,2653.157,1778.230,2518.529,1771.052,2122.125,1552.445,2845.862,1478.549,2362.312,1517.663
2705.680,1825.587,2118.985,2041.687,1988.142,1825.365,2649.003,1551.072,2682.804,1702.254,2655.877,1775.780,2529.860,1762.338,2131.444,1544.413,2846.041,1456.449,2365.041,1512.675
2710.969,1822.856,2125.590,2032.930,1994.398,1818.652,2654.404,1546.124,2678.887,1685.924,2659.748,1772.634,2540.728,1753.950,2139.927,1537.146,2846.648,1436.219,2367.961,1507.564
2715.350,1820.627,2131.843,2025.082,2000.904,1812.069,2659.220,1541.571,2672.947,1668.513,2663.006,1769.824,2549.360,1747.340,2147.440,1530.715,2846.815,1420.342,2372.541,1499.971
2719.150,1818.905,2138.085,2016.586,2007.001,1806.070,2663.715,1530.222,2668.963,1652.003,2665.278,1768.008,2559.257,1739.872,2155.415,1523.915,2846.639,1405.498,2381.769,1476.931
2723.604,1816.530,2143.591,2010.015,2012.859,1800.166,2666.800,1507.445,2663.957,1636.487,2668.878,1765.306,2567.870,1732.878,2165.214,1516.689,2846.535,1394.021,2389.454,1451.026
2728.165,1813.862,2149.604,2002.823,2018.688,1794.756,2667.475,1484.579,2659.641,1622.311,2670.540,1763.619,2573.959,1721.771,2183.260,1502.871,2846.237,1381.948,2396.701,1423.312
2731.737,1811.983,2154.853,1996.709,2024.302,1789.314,2665.069,1463.740,2654.733,1606.950,2673.942,1760.810,2572.563,1700.889,2201.065,1485.103,2846.385,1372.008,2403.345,1397.787
2736.077,1809.415,2160.363,1990.641,2029.154,1784.766,2663.683,1446.802,2647.858,1589.613,2675.774,1759.055,2569.071,1679.855,2218.031,1470.316,2846.561,1362.571,2409.027,1378.617
2739.485,1807.542,2165.266,1985.260,2034.290,1780.070,2662.057,1429.568,2642.578,1571.701,2679.047,1756.359,2565.886,1660.859,2231.317,1456.829,2846.557,1353.596,2414.113,1358.936
2743.349,1804.705,2169.894,1980.706,2039.570,1775.284,2661.159,1417.224,2633.442,1550.748,2681.007,1754.670,2562.187,1644.163,2243.145,1444.327,2846.635,1345.994,2418.178,1342.102
2746.724,1802.750,2174.585,1975.421,2044.156,1771.060,2660.452,1405.442,2627.554,1530.445,2682.082,1753.471,2559.120,1629.716,2253.620,1433.095,2842.374,1331.972,2421.488,1329.165
2750.227,1800.326,2178.908,1971.175,2048.889,1766.832,2659.764,1394.884,2620.565,1510.920,2684.160,1751.664,2556.329,1616.905,2263.478,1422.561,2831.240,1308.653,2424.669,1316.857
2753.321,1798.442,2185.274,1964.593,2053.471,1762.952,2655.314,1379.279,2615.923,1494.129,2686.039,1749.914,2554.498,1606.072,2271.571,1414.267,2817.583,1283.284,2427.195,1306.071
2757.190,1795.262,2199.053,1955.222,2057.941,1759.000,2646.414,1350.926,2612.467,1478.616,2688.236,1748.181,2552.106,1594.265,2279.003,1406.728,2803.921,1260.220,2430.086,1294.283
2760.014,1793.654,2215.563,1941.520,2063.225,1749.545,2636.977,1322.364,2609.852,1465.622,2689.730,1746.663,2548.855,1584.342,2285.969,1399.496,2793.174,1239.496,2432.061,1284.845
2762.966,1791.444,2231.601,1929.075,2070.398,1726.555,2628.963,1295.913,2607.478,1453.534,2691.063,1745.562,2533.951,1567.884,2292.662,1392.309,2784.383,1222.879,2434.046,1276.577
2765.707,1789.595,2244.284,1920.383,2078.856,1704.870,2622.151,1275.143,2605.649,1442.461,2692.758,1744.578,2516.759,1550.874,2299.351,1385.392,2776.793,1208.057,2435.984,1268.623
2768.920,1786.934,2257.069,1912.120,2084.817,1686.881,2616.296,1257.871,2603.974,1432.324,2699.931,1741.346,2491.688,1533.702,2305.488,1379.174,2769.878,1194.588,2437.797,1259.529
2771.108,1785.748,2267.576,1905.316,2090.106,1670.639,2610.562,1241.699,2602.375,1423.038,2715.561,1730.654,2473.152,1519.523,2310.454,1374.077,2763.064,1181.742,2439.663,1252.102
2773.793,1783.902,2277.668,1898.862,2095.163,1656.564,2606.113,1228.934,2601.249,1413.715,2726.420,1717.795,2454.200,1505.790,2315.498,1368.821,2757.968,1171.182,2441.097,1244.810
2776.926,1781.084,2287.167,1892.897,2099.702,1644.448,2601.393,1215.735,2600.388,1406.098,2735.317,1707.780,2438.064,1494.883,2321.277,1362.774,2749.477,1158.272,2442.536,1238.983
2779.469,1779.181,2295.791,1887.680,2104.238,1633.833,2596.499,1203.134,2599.537,1397.941,2744.335,1698.531,2424.713,1485.618,2325.577,1358.698,2732.157,1138.834,2443.813,1232.479
2781.859,1777.637,2303.918,1882.510,2107.821,1622.683,2584.846,1182.927,2599.140,1391.591,2752.184,1690.599,2412.698,1476.918,2330.098,1354.021,2712.714,1114.678,2444.851,1226.841
2785.069,1775.432,2310.463,1878.541,2109.464,1600.967,2573.825,1158.454,2598.749,1384.861,2758.968,1684.130,2403.252,1469.589,2334.242,1349.841,2694.503,1095.789,2446.093,1219.569
2789.788,1772.165,2318.144,1873.888,2112.523,1577.548,2562.585,1138.432,2597.970,1377.739,2765.553,1677.688,2393.523,1462.361,2339.062,1340.203,2678.952,1078.534,2447.107,1215.612
2796.470,1768.465,2324.917,1869.693,2112.226,1555.136,2553.699,1121.315,2594.517,1367.437,2771.990,1671.456,2385.461,1455.895,2338.226,1322.672,2665.283,1063.240,2448.380,1208.470
2803.806,1764.360,2331.557,1865.589,2112.537,1534.121,2545.925,1105.482,2583.712,1350.964,2776.784,1666.726,2377.705,1449.538,2336.528,1301.530,2653.730,1050.152,2449.228,1203.853
