x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
543.145,426.221,91.946,51.559,357.500,318.321,683.501,490.507,204.862,72.313
541.143,427.412,89.298,51.650,354.865,322.818,679.830,486.388,199.435,76.071
542.225,426.968,86.626,51.343,353.572,324.080,678.316,484.930,196.578,78.313
541.289,427.591,83.583,51.480,350.626,328.256,674.535,481.337,192.681,81.020
540.583,427.853,80.106,51.098,348.172,331.873,672.627,477.949,189.336,83.273
540.027,428.067,78.022,51.291,346.049,335.291,670.730,475.883,186.528,85.415
539.435,428.486,74.741,51.137,343.045,339.389,666.857,471.745,182.899,88.300
539.171,428.833,72.488,51.076,341.714,341.302,664.773,469.395,180.744,90.050
537.783,429.691,69.983,51.218,338.135,347.139,660.281,464.431,176.772,93.370
537.807,429.482,68.238,50.966,337.002,348.922,658.922,462.313,174.693,94.768
536.642,430.234,66.308,51.454,333.793,353.390,654.813,457.584,170.488,97.636
536.875,429.869,64.520,51.778,331.499,356.354,652.499,455.303,168.217,99.034
535.339,430.575,62.484,52.157,328.616,361.091,649.171,451.187,165.665,100.599
535.413,430.564,60.641,52.776,326.415,364.691,646.978,447.069,163.471,101.821
535.984,430.461,58.260,53.003,323.736,368.146,643.866,441.960,160.932,103.358
534.456,431.330,55.622,54.356,320.626,373.070,640.387,436.395,157.912,105.067
534.371,430.861,53.437,56.927,318.510,376.562,638.953,429.040,156.992,105.515
533.343,431.265,51.611,59.598,315.393,381.663,636.318,419.314,152.985,107.994
534.064,430.605,50.332,61.980,313.791,383.797,634.303,411.939,153.675,107.717
532.168,431.556,49.376,63.663,310.724,388.577,632.443,401.156,149.821,110.082
532.222,431.415,49.566,64.520,309.069,391.710,631.214,394.654,148.617,110.896
530.871,432.014,49.562,66.300,306.829,395.045,628.963,385.324,146.072,112.447
530.697,431.938,49.436,67.728,303.938,399.119,627.604,377.568,144.304,113.770
531.056,431.811,49.685,67.811,302.159,402.104,626.910,372.020,143.640,115.218
529.837,432.714,50.023,69.495,299.445,407.144,625.723,363.696,141.727,120.158
529.483,433.323,50.314,69.995,297.590,410.044,625.905,362.625,140.484,123.539
527.851,434.478,50.071,71.151,294.605,414.427,625.699,358.803,138.208,129.198
528.538,434.354,50.433,71.729,292.886,417.427,625.815,358.956,137.178,131.646
526.760,435.500,50.645,73.657,290.023,422.565,624.998,353.847,135.518,137.837
526.713,436.341,50.514,74.194,288.640,424.654,624.769,353.818,134.116,141.898
525.568,437.370,50.658,74.734,286.079,428.515,623.712,349.507,132.620,146.975
525.316,437.574,50.709,75.372,284.209,431.397,623.264,346.882,131.131,150.320
525.292,437.649,50.572,75.939,282.126,435.284,622.665,345.479,129.917,153.813
524.545,438.467,50.790,76.196,279.913,438.770,621.727,342.500,128.397,158.714
523.796,439.143,50.825,75.873,277.403,442.266,621.640,342.204,127.684,160.359
523.235,439.657,50.620,76.405,274.881,445.990,620.202,338.445,126.161,165.472
526.434,437.353,50.763,75.466,272.613,449.416,620.189,337.919,125.619,166.839
524.246,438.898,50.313,75.966,269.668,453.808,619.064,333.944,124.059,171.262
524.650,438.929,49.968,76.747,267.579,456.813,618.890,333.150,123.195,173.896
523.795,439.759,49.549,78.594,265.057,460.148,617.868,329.679,122.149,177.364
524.011,439.253,49.397,80.207,263.523,462.609,617.549,327.525,121.501,179.271
523.156,440.348,49.118,81.590,260.294,466.712,616.949,325.060,120.818,181.910
522.334,441.395,48.538,84.260,258.830,468.516,616.636,321.531,119.490,186.216
522.395,441.778,48.275,86.652,257.882,470.266,616.696,321.240,119.115,187.309
522.090,440.878,47.905,90.332,255.053,474.096,616.368,316.617,117.769,191.072
524.205,439.012,46.905,93.830,254.136,474.822,616.516,316.809,117.573,191.492
522.742,439.688,46.216,97.747,251.519,477.978,615.929,312.949,116.472,195.864
524.412,438.174,44.877,101.519,250.079,479.659,616.273,312.746,116.261,197.056
